pool_name,query_jid,query_formula,candidate_jid,formula,reduced_formula,material_type,dataset_kind,chemical_system,composition_family,material_family,formula_family,prototype_family,structure_variant,family_confidence,same_formula_family,same_prototype_family,same_structure_variant,elements,element_overlap_count,element_overlap_fraction_query,same_chemical_system,same_composition_family,same_material_family,spacegroup_number,spacegroup_symbol,crystal_system_code,symmetry_match,symmetry_distance,formation_energy,formation_energy_peratom,energy_above_hull,known_synthesized,stability_label,selection_reason,selection_score,rank_in_pool,missing_fields
adjacent_family,JVASP-140218,Li7Mn2Co3O12,JVASP-12171,MnCo2O6,Mn(CoO3)2,bulk,dft_3d,Co-Mn-O,oxide,oxide,ABO3,perovskite_like,perovskite_like_unknown_variant,0.7,False,False,False,Co;Mn;O,3,0.75,False,True,True,64,,3,False,56.0,-1.2350700000000001,-1.2350700000000001,0.0887,,stable_or_known,shares elements or related family context but is not the same chemical system/variant,4.758771929824562,1,known_synthesized
adjacent_family,JVASP-140218,Li7Mn2Co3O12,JVASP-47888,LiMn2O4,LiMn2O4,bulk,dft_3d,Li-Mn-O,oxide,oxide,AB2O4,spinel_like,distorted_battery_spinel_derivative,0.82,False,False,False,Li;Mn;O,3,0.75,False,True,True,74,,3,False,66.0,-1.94689,-1.94689,0.096,,stable_or_known,shares elements or related family context but is not the same chemical system/variant,4.757462686567164,2,known_synthesized
adjacent_family,JVASP-140218,Li7Mn2Co3O12,JVASP-12606,MnCoO3,MnCoO3,bulk,dft_3d,Co-Mn-O,oxide,oxide,ABO3,perovskite_like,perovskite_like_unknown_variant,0.7,False,False,False,Co;Mn;O,3,0.75,False,True,True,148,,5,False,140.0,-1.41346,-1.41346,0.0697,True,stable_or_known,shares elements or related family context but is not the same chemical system/variant,4.75354609929078,3,
adjacent_family,JVASP-140218,Li7Mn2Co3O12,JVASP-111394,MnCoO3,MnCoO3,bulk,dft_3d,Co-Mn-O,oxide,oxide,ABO3,perovskite_like,perovskite_like_unknown_variant,0.7,False,False,False,Co;Mn;O,3,0.75,False,True,True,148,,5,False,140.0,-1.4250800000000001,-1.4250800000000001,0.058100000000000006,,stable_or_known,shares elements or related family context but is not the same chemical system/variant,4.75354609929078,4,known_synthesized
adjacent_family,JVASP-140218,Li7Mn2Co3O12,JVASP-141644,LiMn2O4,LiMn2O4,bulk,dft_3d,Li-Mn-O,oxide,oxide,AB2O4,spinel_like,distorted_battery_spinel_derivative,0.82,False,False,False,Li;Mn;O,3,0.75,False,True,True,186,,6,False,178.0,-1.9910400000000001,-1.9910400000000001,0.0519,,stable_or_known,shares elements or related family context but is not the same chemical system/variant,4.7527932960893855,5,known_synthesized
adjacent_family,JVASP-140218,Li7Mn2Co3O12,JVASP-34813,LiMn2O4,LiMn2O4,bulk,dft_3d,Li-Mn-O,oxide,oxide,AB2O4,spinel_like,cubic_battery_spinel,0.86,False,False,False,Li;Mn;O,3,0.75,False,True,True,227,,7,False,219.0,-2.0259,-2.0259,0.017,True,stable_or_known,shares elements or related family context but is not the same chemical system/variant,4.752272727272727,6,
adjacent_family,JVASP-140218,Li7Mn2Co3O12,JVASP-141792,LiMn2O4,LiMn2O4,bulk,dft_3d,Li-Mn-O,oxide,oxide,AB2O4,spinel_like,cubic_battery_spinel,0.86,False,False,False,Li;Mn;O,3,0.75,False,True,True,227,,7,False,219.0,-2.0429,-2.0429,0.0,,stable_or_known,shares elements or related family context but is not the same chemical system/variant,4.752272727272727,7,known_synthesized
adjacent_family,JVASP-140218,Li7Mn2Co3O12,JVASP-116677,Mn2CoO4,Mn2CoO4,bulk,dft_3d,Co-Mn-O,oxide,oxide,AB2O4,spinel_like,cubic_spinel,0.86,False,False,False,Co;Mn;O,3,0.75,False,True,True,227,,7,False,219.0,-1.5818,-1.5818,0.0,,stable_or_known,shares elements or related family context but is not the same chemical system/variant,4.752272727272727,8,known_synthesized
adjacent_family,JVASP-140218,Li7Mn2Co3O12,JVASP-140537,CaMn2O4,CaMn2O4,bulk,dft_3d,Ca-Mn-O,oxide,oxide,AB2O4,spinel_like,spinel_like_unknown_variant,0.7,False,False,False,Ca;Mn;O,2,0.5,False,True,True,8,,2,True,0.0,-2.17547,-2.17547,0.079,,stable_or_known,shares elements or related family context but is not the same chemical system/variant,4.5,9,known_synthesized
adjacent_family,JVASP-140218,Li7Mn2Co3O12,JVASP-48221,LiFeO3,LiFeO3,bulk,dft_3d,Fe-Li-O,oxide,oxide,ABO3,perovskite_like,perovskite_like_unknown_variant,0.7,False,False,False,Fe;Li;O,2,0.5,False,True,True,9,,2,False,1.0,-1.54516,-1.54516,0.056,,stable_or_known,shares elements or related family context but is not the same chemical system/variant,4.25,10,known_synthesized
