pool_name,query_jid,query_formula,candidate_jid,formula,reduced_formula,material_type,dataset_kind,chemical_system,composition_family,material_family,formula_family,prototype_family,structure_variant,family_confidence,same_formula_family,same_prototype_family,same_structure_variant,elements,element_overlap_count,element_overlap_fraction_query,same_chemical_system,same_composition_family,same_material_family,spacegroup_number,spacegroup_symbol,crystal_system_code,symmetry_match,symmetry_distance,formation_energy,formation_energy_peratom,energy_above_hull,known_synthesized,stability_label,selection_reason,selection_score,rank_in_pool,missing_fields
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-139912,Li7Mn2Co3O12,Li7Mn2(CoO4)3,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB2C4D7,unknown,unknown,0.35,True,True,True,Co;Li;Mn;O,4,1.0,True,True,True,156,,5,False,148.0,-1.73888,-1.73888,0.2038,,unknown_or_less_stable,related formula/prototype/chemistry/family with different symmetry or variant metadata,8.25,1,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-141685,Li4MnCo2O7,Li4MnCo2O7,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB2C4D7,unknown,unknown,0.35,True,True,True,Co;Li;Mn;O,4,1.0,True,True,True,160,,5,False,152.0,-1.7517,-1.7517,0.156,,unknown_or_less_stable,related formula/prototype/chemistry/family with different symmetry or variant metadata,8.25,2,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-120551,Ba2Co4BrO7,Ba2Co4BrO7,bulk,dft_3d,Ba-Br-Co-O,oxide,oxide,AB2C4D7,unknown,unknown,0.35,True,True,True,Ba;Br;Co;O,2,0.5,False,True,True,166,,5,False,158.0,-1.69285,-1.69285,0.0035,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,8.0,3,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-43333,Li2Mn3CoO8,Li2Mn3CoO8,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB2C3D8,unknown,unknown,0.35,False,True,True,Co;Li;Mn;O,4,1.0,True,True,True,166,,5,False,158.0,-1.9134200000000001,-1.9134200000000001,0.0086,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,7.25,4,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-137387,Li2Mn3CoO8,Li2Mn3CoO8,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB2C3D8,unknown,unknown,0.35,False,True,True,Co;Li;Mn;O,4,1.0,True,True,True,166,,5,False,158.0,-1.91192,-1.91192,0.010100000000000001,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,7.25,5,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-112501,Li4Mn3CoO8,Li4Mn3CoO8,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB3C4D8,unknown,unknown,0.35,False,True,True,Co;Li;Mn;O,4,1.0,True,True,True,166,,5,False,158.0,-1.94012,-1.94012,0.0654,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,7.25,6,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-133710,Li4MnCo3O8,Li4MnCo3O8,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB3C4D8,unknown,unknown,0.35,False,True,True,Co;Li;Mn;O,4,1.0,True,True,True,166,,5,False,158.0,-1.7492800000000002,-1.7492800000000002,0.051300000000000005,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,7.25,7,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-146766,Li4MnCo3O8,Li4MnCo3O8,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB3C4D8,unknown,unknown,0.35,False,True,True,Co;Li;Mn;O,4,1.0,True,True,True,166,,5,False,158.0,-1.7799800000000001,-1.7799800000000001,0.0206,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,7.25,8,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-40680,Li4MnCo3O8,Li4MnCo3O8,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB3C4D8,unknown,unknown,0.35,False,True,True,Co;Li;Mn;O,4,1.0,True,True,True,166,,5,False,158.0,-1.7494,-1.7494,0.0512,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,7.25,9,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-47597,Li2MnCo3O8,Li2MnCo3O8,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB2C3D8,unknown,unknown,0.35,False,True,True,Co;Li;Mn;O,4,1.0,True,True,True,186,,6,False,178.0,-1.60959,-1.60959,0.0371,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,7.25,10,known_synthesized
