pool_name,query_jid,query_formula,candidate_jid,formula,reduced_formula,material_type,dataset_kind,chemical_system,composition_family,material_family,formula_family,prototype_family,structure_variant,family_confidence,same_formula_family,same_prototype_family,same_structure_variant,elements,element_overlap_count,element_overlap_fraction_query,same_chemical_system,same_composition_family,same_material_family,spacegroup_number,spacegroup_symbol,crystal_system_code,symmetry_match,symmetry_distance,formation_energy,formation_energy_peratom,energy_above_hull,known_synthesized,stability_label,selection_reason,selection_score,rank_in_pool,missing_fields
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-147242,Li4Mn3CoO8,Li4Mn3CoO8,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB3C4D8,unknown,unknown,0.35,False,True,True,Co;Li;Mn;O,4,1.0,True,True,True,12,,2,False,4.0,-1.9125400000000001,-1.9125400000000001,0.093,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,3.0,1,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-120610,Li3MnCoO5,Li3MnCoO5,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,ABC3D5,unknown,unknown,0.35,False,True,True,Co;Li;Mn;O,4,1.0,True,True,True,1,,1,False,7.0,-1.98078,-1.98078,0.0109,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,3.0,2,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-47561,Li3MnCo2O6,Li3Mn(CoO3)2,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,ABC3D3,unknown,unknown,0.35,False,True,True,Co;Li;Mn;O,4,1.0,True,True,True,12,,2,False,4.0,-1.77699,-1.77699,0.0582,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,3.0,3,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-141076,Li2MnCoO4,Li2MnCoO4,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,ABC2D4,unknown,unknown,0.35,False,True,True,Co;Li;Mn;O,4,1.0,True,True,True,12,,2,False,4.0,-1.8369,-1.8369,0.0673,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,3.0,4,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-143548,Li4MnCo3O8,Li4MnCo3O8,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB3C4D8,unknown,unknown,0.35,False,True,True,Co;Li;Mn;O,4,1.0,True,True,True,12,,2,False,4.0,-1.73485,-1.73485,0.0658,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,3.0,5,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-112908,Li5MnCo2O8,Li5Mn(CoO4)2,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,ABC4D5,unknown,unknown,0.35,False,True,True,Co;Li;Mn;O,4,1.0,True,True,True,8,,2,True,0.0,-1.83695,-1.83695,0.0824,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,3.0,6,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-117126,Li4MnCo2O7,Li4MnCo2O7,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB2C4D7,unknown,unknown,0.35,True,True,True,Co;Li;Mn;O,4,1.0,True,True,True,12,,2,False,4.0,-1.84432,-1.84432,0.06330000000000001,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,3.0,7,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-112919,Li7Mn4CoO12,Li7Mn4CoO12,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB4C7D12,unknown,unknown,0.35,False,True,True,Co;Li;Mn;O,4,1.0,True,True,True,6,,2,False,2.0,-2.01139,-2.01139,0.0663,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,3.0,8,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-143567,Li7Mn2Co3O12,Li7Mn2(CoO4)3,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB2C4D7,unknown,unknown,0.35,True,True,True,Co;Li;Mn;O,4,1.0,True,True,True,3,,2,False,5.0,-1.92172,-1.92172,0.020900000000000002,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,3.0,9,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-116504,Li7Mn2Co3O12,Li7Mn2(CoO4)3,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB2C4D7,unknown,unknown,0.35,True,True,True,Co;Li;Mn;O,4,1.0,True,True,True,12,,2,False,4.0,-1.92961,-1.92961,0.013000000000000001,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,3.0,10,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-47011,Li4MnOF4,Li4MnOF4,bulk,dft_3d,F-Li-Mn-O,oxide,oxide,ABC4D4,unknown,unknown,0.35,False,True,True,F;Li;Mn;O,3,0.75,False,True,True,87,,4,False,79.0,-2.69745,-2.69745,0.0,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,2.875,11,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-117300,LiMnPO4,LiMnPO4,bulk,dft_3d,Li-Mn-O-P,oxide,oxide,ABCD4,unknown,unknown,0.35,False,True,True,Li;Mn;O;P,3,0.75,False,True,True,33,,3,False,25.0,-2.21112,-2.21112,0.0074,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,2.875,12,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-121903,LiMnP2O7,LiMnP2O7,bulk,dft_3d,Li-Mn-O-P,oxide,oxide,ABC2D7,unknown,unknown,0.35,False,True,True,Li;Mn;O;P,3,0.75,False,True,True,5,,2,False,3.0,-2.23967,-2.23967,0.0,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,2.875,13,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-147713,Li2MnC2O6,Li2Mn(CO3)2,bulk,dft_3d,C-Li-Mn-O,oxide,oxide,ABC2D3,unknown,unknown,0.35,False,True,True,C;Li;Mn;O,3,0.75,False,True,True,14,,2,False,6.0,-1.73031,-1.73031,0.0641,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,2.875,14,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-147243,Li7Co5O12,Li7Co5O12,bulk,dft_3d,Co-Li-O,oxide,oxide,A5B7C12,unknown,unknown,0.35,False,True,True,Co;Li;O,3,0.75,False,True,True,12,,2,False,4.0,-1.72669,-1.72669,0.0261,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,2.875,15,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-143260,Li4Mn3SbP4O16,Li4Mn3Sb(PO4)4,bulk,dft_3d,Li-Mn-O-P-Sb,oxide,oxide,ABC3D4E4,unknown,unknown,0.35,False,True,True,Li;Mn;O;P;Sb,3,0.75,False,True,True,6,,2,False,2.0,-2.11817,-2.11817,0.0743,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,2.875,16,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-98001,LiMnO4,LiMnO4,bulk,dft_3d,Li-Mn-O,oxide,oxide,ABC4,unknown,unknown,0.35,False,True,True,Li;Mn;O,3,0.75,False,True,True,63,,3,False,55.0,-1.6372200000000001,-1.6372200000000001,0.0,True,stable_or_known,deterministic stable/known wildcard sample outside selected pools,2.875,17,
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-45849,LiCoPO4,LiCoPO4,bulk,dft_3d,Co-Li-O-P,oxide,oxide,ABCD4,unknown,unknown,0.35,False,True,True,Co;Li;O;P,3,0.75,False,True,True,9,,2,False,1.0,-1.9085100000000002,-1.9085100000000002,0.0811,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,2.875,18,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-47554,Li2TiCo2O6,Li2Ti(CoO3)2,bulk,dft_3d,Co-Li-O-Ti,oxide,oxide,ABC2D3,unknown,unknown,0.35,False,True,True,Co;Li;O;Ti,3,0.75,False,True,True,64,,3,False,56.0,-2.03973,-2.03973,0.0843,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,2.875,19,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-106890,Li2FeCoO4,Li2FeCoO4,bulk,dft_3d,Co-Fe-Li-O,oxide,oxide,ABC2D4,unknown,unknown,0.35,False,True,True,Co;Fe;Li;O,3,0.75,False,True,True,10,,2,False,2.0,-1.73892,-1.73892,0.0041,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,2.875,20,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-44446,Li2Mn3CuO8,Li2Mn3CuO8,bulk,dft_3d,Cu-Li-Mn-O,oxide,oxide,AB2C3D8,unknown,unknown,0.35,False,True,True,Cu;Li;Mn;O,3,0.75,False,True,True,9,,2,False,1.0,-1.80145,-1.80145,0.0164,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,2.875,21,known_synthesized
wildcard,JVASP-142153,Li7Mn2Co3O12,JVASP-44630,Li4MnV2WO12,Li4MnV2WO12,bulk,dft_3d,Li-Mn-O-V-W,oxide,oxide,ABC2D4E12,unknown,unknown,0.35,False,True,True,Li;Mn;O;V;W,3,0.75,False,True,True,1,,1,False,7.0,-2.31066,-2.31066,0.0811,,stable_or_known,deterministic stable/known wildcard sample outside selected pools,2.875,22,known_synthesized
