pool_name,query_jid,query_formula,candidate_jid,formula,reduced_formula,material_type,dataset_kind,chemical_system,composition_family,material_family,formula_family,prototype_family,structure_variant,family_confidence,same_formula_family,same_prototype_family,same_structure_variant,elements,element_overlap_count,element_overlap_fraction_query,same_chemical_system,same_composition_family,same_material_family,spacegroup_number,spacegroup_symbol,crystal_system_code,symmetry_match,symmetry_distance,formation_energy,formation_energy_peratom,energy_above_hull,known_synthesized,stability_label,selection_reason,selection_score,rank_in_pool,missing_fields
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-148852,K2S,K2S,bulk,dft_3d,K-S,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,K;S,0,0.0,False,False,False,194,,6,False,186.0,-1.19039,-1.19039,0.032,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,1,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-16780,Th2CrN3,Th2CrN3,bulk,dft_3d,Cr-N-Th,mixed_compound,mixed_compound,AB2C3,max_phase_like,layered_carbide_nitride_candidate,0.58,False,False,False,Cr;N;Th,0,0.0,False,False,False,71,,3,False,63.0,-1.52077,-1.52077,0.0,True,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,2,
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-149700,Cr2SiC,Cr2SiC,bulk,dft_3d,C-Cr-Si,mixed_compound,mixed_compound,ABC2,max_phase_like,layered_carbide_nitride_candidate,0.58,False,False,False,C;Cr;Si,0,0.0,False,False,False,194,,6,False,186.0,-0.14416,-0.14416,0.0935,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,3,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-154101,UReC2,UReC2,bulk,dft_3d,C-Re-U,mixed_compound,mixed_compound,ABC2,max_phase_like,layered_carbide_nitride_candidate,0.58,False,False,False,C;Re;U,0,0.0,False,False,False,62,,3,False,54.0,-0.26302000000000003,-0.26302000000000003,0.0,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,4,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-154345,Sc3IrC4,Sc3IrC4,bulk,dft_3d,C-Ir-Sc,mixed_compound,mixed_compound,AB3C4,max_phase_like,layered_carbide_nitride_candidate,0.58,False,False,False,C;Ir;Sc,0,0.0,False,False,False,12,,2,False,4.0,-0.61221,-0.61221,0.0,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,5,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-676,Te2Mo,Te2Mo,2d,dft_2d,Mo-Te,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,Mo;Te,0,0.0,False,False,False,11,,2,False,3.0,-0.14204,-0.14204,0.0,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,6,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-123700,RbSe2,RbSe2,bulk,dft_3d,Rb-Se,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,Rb;Se,0,0.0,False,False,False,12,,2,False,4.0,-0.7039700000000001,-0.7039700000000001,0.042300000000000004,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,7,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-35854,DyTe2,DyTe2,bulk,dft_3d,Dy-Te,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,Dy;Te,0,0.0,False,False,False,129,,4,False,121.0,-1.18734,-1.18734,0.0239,True,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,8,
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-135210,Te2I,Te2I,bulk,dft_3d,I-Te,halide,halide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,I;Te,0,0.0,False,False,False,10,,2,False,2.0,0.034420000000000006,0.034420000000000006,0.0859,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,9,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-5872,TaS2,TaS2,2d,dft_2d,S-Ta,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,S;Ta,0,0.0,False,False,False,164,,5,False,156.0,-1.03858,-1.03858,0.0,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,10,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-6661,InSe2,InSe2,2d,dft_2d,In-Se,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,In;Se,0,0.0,False,False,False,164,,5,False,156.0,0.31493000000000004,0.31493000000000004,0.0,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,11,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-55128,NaC4N3,NaC4N3,bulk,dft_3d,C-N-Na,mixed_compound,mixed_compound,AB3C4,max_phase_like,layered_carbide_nitride_candidate,0.58,False,False,False,C;N;Na,0,0.0,False,False,False,2,,1,False,6.0,0.09721,0.09721,0.28800000000000003,True,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,12,
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-597,TaTe2,TaTe2,bulk,dft_3d,Ta-Te,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,Ta;Te,0,0.0,False,False,False,12,,2,False,4.0,-0.34828000000000003,-0.34828000000000003,0.0,True,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,13,
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-60,Te2Mo,Te2Mo,bulk,dft_3d,Mo-Te,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,Mo;Te,0,0.0,False,False,False,194,,6,False,186.0,-0.24068000000000003,-0.24068000000000003,0.0,True,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,14,
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-37085,SmNiC2,SmNiC2,bulk,dft_3d,C-Ni-Sm,mixed_compound,mixed_compound,ABC2,max_phase_like,layered_carbide_nitride_candidate,0.58,False,False,False,C;Ni;Sm,0,0.0,False,False,False,38,,3,False,30.0,-0.37125,-0.37125,0.0,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,15,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-539,CrSe2,CrSe2,bulk,dft_3d,Cr-Se,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,Cr;Se,0,0.0,False,False,False,164,,5,False,156.0,-0.46379000000000004,-0.46379000000000004,0.0155,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,16,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-7654,KAuC2,KAuC2,bulk,dft_3d,Au-C-K,mixed_compound,mixed_compound,ABC2,max_phase_like,layered_carbide_nitride_candidate,0.58,False,False,False,Au;C;K,0,0.0,False,False,False,123,,4,False,115.0,0.12181000000000002,0.12181000000000002,0.2771,True,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,17,
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-79524,YbNiC2,YbNiC2,bulk,dft_3d,C-Ni-Yb,mixed_compound,mixed_compound,ABC2,max_phase_like,layered_carbide_nitride_candidate,0.58,False,False,False,C;Ni;Yb,0,0.0,False,False,False,38,,3,False,30.0,-0.43786,-0.43786,0.0,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,18,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-1969,Ca2BrN,Ca2BrN,bulk,dft_3d,Br-Ca-N,halide,halide,ABC2,max_phase_like,layered_carbide_nitride_candidate,0.58,False,False,False,Br;Ca;N,0,0.0,False,False,False,166,,5,False,158.0,-1.63368,-1.63368,0.0,True,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,19,
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-14201,Ta2InC,Ta2InC,bulk,dft_3d,C-In-Ta,mixed_compound,mixed_compound,ABC2,max_phase_like,layered_carbide_nitride_candidate,0.58,False,False,False,C;In;Ta,0,0.0,False,False,False,194,,6,False,186.0,-0.38068,-0.38068,0.08600000000000001,True,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,20,
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-141352,PuMoC2,PuMoC2,bulk,dft_3d,C-Mo-Pu,mixed_compound,mixed_compound,ABC2,max_phase_like,layered_carbide_nitride_candidate,0.58,False,False,False,C;Mo;Pu,0,0.0,False,False,False,62,,3,False,54.0,-0.25866,-0.25866,0.0,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,21,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-8084,KCuC2,KCuC2,bulk,dft_3d,C-Cu-K,mixed_compound,mixed_compound,ABC2,max_phase_like,layered_carbide_nitride_candidate,0.58,False,False,False,C;Cu;K,0,0.0,False,False,False,131,,4,False,123.0,0.19611,0.19611,0.1998,True,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,22,
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-85610,PuS2,PuS2,bulk,dft_3d,Pu-S,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,Pu;S,0,0.0,False,False,False,129,,4,False,121.0,-1.69929,-1.69929,0.0,True,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,23,
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-33799,SeBr2,SeBr2,bulk,dft_3d,Br-Se,halide,halide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,Br;Se,0,0.0,False,False,False,136,,4,False,128.0,0.02024,0.02024,0.0731,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,24,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-85203,LaSe2,LaSe2,bulk,dft_3d,La-Se,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,La;Se,0,0.0,False,False,False,129,,4,False,121.0,-1.8416000000000001,-1.8416000000000001,0.019,True,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,25,
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-19811,TaS2,TaS2,bulk,dft_3d,S-Ta,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,S;Ta,0,0.0,False,False,False,164,,5,False,156.0,-1.13046,-1.13046,0.015600000000000001,True,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,26,
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-744,PtSe2,PtSe2,2d,dft_2d,Pt-Se,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,Pt;Se,0,0.0,False,False,False,164,,5,False,156.0,-0.27202000000000004,-0.27202000000000004,0.0,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,27,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-152838,Te2Ir,Te2Ir,bulk,dft_3d,Ir-Te,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,Ir;Te,0,0.0,False,False,False,2,,1,False,6.0,-0.26017,-0.26017,0.0057,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,28,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-34138,MoS2,MoS2,bulk,dft_3d,Mo-S,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,Mo;S,0,0.0,False,False,False,194,,6,False,186.0,-0.96135,-0.96135,0.0002,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,29,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-689,ZrS2,ZrS2,2d,dft_2d,S-Zr,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,S;Zr,0,0.0,False,False,False,164,,5,False,156.0,-1.59705,-1.59705,0.0,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,30,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-110145,Ti3WC4,Ti3WC4,bulk,dft_3d,C-Ti-W,mixed_compound,mixed_compound,AB3C4,max_phase_like,layered_carbide_nitride_candidate,0.58,False,False,False,C;Ti;W,0,0.0,False,False,False,166,,5,False,158.0,-0.7156,-0.7156,0.0473,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,31,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-138371,SeBr2,SeBr2,bulk,dft_3d,Br-Se,halide,halide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,Br;Se,0,0.0,False,False,False,47,,3,False,39.0,0.0172,0.0172,0.07010000000000001,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,32,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-8285,CrS2,CrS2,bulk,dft_3d,Cr-S,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,Cr;S,0,0.0,False,False,False,166,,5,False,158.0,-0.5715,-0.5715,0.0981,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,33,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-594,TaS2,TaS2,bulk,dft_3d,S-Ta,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,S;Ta,0,0.0,False,False,False,194,,6,False,186.0,-1.14604,-1.14604,0.0,True,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,34,
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-28410,WSe2,WSe2,bulk,dft_3d,Se-W,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,Se;W,0,0.0,False,False,False,187,,6,False,179.0,-0.46596000000000004,-0.46596000000000004,0.0787,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,35,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-90713,ScNiC2,ScNiC2,bulk,dft_3d,C-Ni-Sc,mixed_compound,mixed_compound,ABC2,max_phase_like,layered_carbide_nitride_candidate,0.58,False,False,False,C;Ni;Sc,0,0.0,False,False,False,129,,4,False,121.0,-0.37021000000000004,-0.37021000000000004,0.0181,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,36,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-59542,Al2Mo3C,Al2Mo3C,bulk,dft_3d,Al-C-Mo,mixed_compound,mixed_compound,AB2C3,max_phase_like,layered_carbide_nitride_candidate,0.58,False,False,False,Al;C;Mo,0,0.0,False,False,False,213,,7,False,205.0,-0.17615,-0.17615,0.0653,True,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,37,
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-42640,NiS2,NiS2,bulk,dft_3d,Ni-S,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,Ni;S,0,0.0,False,False,False,58,,3,False,50.0,-0.33313000000000004,-0.33313000000000004,0.026000000000000002,True,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,38,
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-128398,AgTe2,AgTe2,bulk,dft_3d,Ag-Te,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,Ag;Te,0,0.0,False,False,False,12,,2,False,4.0,0.00868,0.00868,0.025500000000000002,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,39,known_synthesized
negative_control,JVASP-143566,Li7Mn2Co3O12,JVASP-720,PdS2,PdS2,2d,dft_2d,Pd-S,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,0.62,False,False,False,Pd;S,0,0.0,False,False,False,14,,2,False,6.0,-0.17124,-0.17124,0.0,,stable_or_known,deliberately unrelated chemistry/family control pool,7.75,40,known_synthesized
