pool_name,query_jid,query_formula,candidate_jid,formula,reduced_formula,material_type,dataset_kind,chemical_system,composition_family,material_family,formula_family,prototype_family,structure_variant,family_confidence,same_formula_family,same_prototype_family,same_structure_variant,elements,element_overlap_count,element_overlap_fraction_query,same_chemical_system,same_composition_family,same_material_family,spacegroup_number,spacegroup_symbol,crystal_system_code,symmetry_match,symmetry_distance,formation_energy,formation_energy_peratom,energy_above_hull,known_synthesized,stability_label,selection_reason,selection_score,rank_in_pool,missing_fields
same_family,JVASP-145157,Li7Mn2Co3O12,JVASP-144805,Li4MnCo2O7,Li4MnCo2O7,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB2C4D7,unknown,unknown,0.35,True,True,True,Co;Li;Mn;O,4,1.0,True,True,True,8,,2,True,0.0,-1.8707500000000001,-1.8707500000000001,0.0369,,stable_or_known,same rich family/formula/prototype/composition/chemical context,17.5,1,known_synthesized
same_family,JVASP-145157,Li7Mn2Co3O12,JVASP-112916,Li4MnCo2O7,Li4MnCo2O7,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB2C4D7,unknown,unknown,0.35,True,True,True,Co;Li;Mn;O,4,1.0,True,True,True,8,,2,True,0.0,-1.87252,-1.87252,0.0351,,stable_or_known,same rich family/formula/prototype/composition/chemical context,17.5,2,known_synthesized
same_family,JVASP-145157,Li7Mn2Co3O12,JVASP-119588,Li4MnCo2O7,Li4MnCo2O7,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB2C4D7,unknown,unknown,0.35,True,True,True,Co;Li;Mn;O,4,1.0,True,True,True,8,,2,True,0.0,-1.82792,-1.82792,0.07970000000000001,,stable_or_known,same rich family/formula/prototype/composition/chemical context,17.5,3,known_synthesized
same_family,JVASP-145157,Li7Mn2Co3O12,JVASP-141227,Li4MnCo2O7,Li4MnCo2O7,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB2C4D7,unknown,unknown,0.35,True,True,True,Co;Li;Mn;O,4,1.0,True,True,True,8,,2,True,0.0,-1.83544,-1.83544,0.0722,,stable_or_known,same rich family/formula/prototype/composition/chemical context,17.5,4,known_synthesized
same_family,JVASP-145157,Li7Mn2Co3O12,JVASP-146773,Li4MnCo2O7,Li4MnCo2O7,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB2C4D7,unknown,unknown,0.35,True,True,True,Co;Li;Mn;O,4,1.0,True,True,True,8,,2,True,0.0,-1.8606200000000002,-1.8606200000000002,0.047,,stable_or_known,same rich family/formula/prototype/composition/chemical context,17.5,5,known_synthesized
same_family,JVASP-145157,Li7Mn2Co3O12,JVASP-116508,Li4MnCo2O7,Li4MnCo2O7,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB2C4D7,unknown,unknown,0.35,True,True,True,Co;Li;Mn;O,4,1.0,True,True,True,8,,2,True,0.0,-1.86915,-1.86915,0.0385,,stable_or_known,same rich family/formula/prototype/composition/chemical context,17.5,6,known_synthesized
same_family,JVASP-145157,Li7Mn2Co3O12,JVASP-146145,Li4MnCo2O7,Li4MnCo2O7,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB2C4D7,unknown,unknown,0.35,True,True,True,Co;Li;Mn;O,4,1.0,True,True,True,8,,2,True,0.0,-1.8710200000000001,-1.8710200000000001,0.0366,,stable_or_known,same rich family/formula/prototype/composition/chemical context,17.5,7,known_synthesized
same_family,JVASP-145157,Li7Mn2Co3O12,JVASP-120422,Li4MnCo2O7,Li4MnCo2O7,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB2C4D7,unknown,unknown,0.35,True,True,True,Co;Li;Mn;O,4,1.0,True,True,True,8,,2,True,0.0,-1.81207,-1.81207,0.0956,,stable_or_known,same rich family/formula/prototype/composition/chemical context,17.5,8,known_synthesized
same_family,JVASP-145157,Li7Mn2Co3O12,JVASP-118987,Li4MnCo2O7,Li4MnCo2O7,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB2C4D7,unknown,unknown,0.35,True,True,True,Co;Li;Mn;O,4,1.0,True,True,True,8,,2,True,0.0,-1.82948,-1.82948,0.0782,,stable_or_known,same rich family/formula/prototype/composition/chemical context,17.5,9,known_synthesized
same_family,JVASP-145157,Li7Mn2Co3O12,JVASP-144451,Li4MnCo2O7,Li4MnCo2O7,bulk,dft_3d,Co-Li-Mn-O,oxide,oxide,AB2C4D7,unknown,unknown,0.35,True,True,True,Co;Li;Mn;O,4,1.0,True,True,True,8,,2,True,0.0,-1.86901,-1.86901,0.0386,,stable_or_known,same rich family/formula/prototype/composition/chemical context,17.5,10,known_synthesized
