batch_index,case_id,label,input_type,jid,external_id,external_json,output_dir,started_at_utc,finished_at_utc,runtime_seconds,status,returncode,command,error
1,JVASP-119589,,jid,JVASP-119589,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-119589,2026-08-09T13:40:16.553142+00:00,2026-08-09T13:40:53.250412+00:00,36.697,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-119589 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-119589 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,
2,JVASP-122407,,jid,JVASP-122407,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-122407,2026-08-09T13:40:53.252183+00:00,2026-08-09T13:41:27.349912+00:00,34.097,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-122407 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-122407 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,
3,JVASP-143116,,jid,JVASP-143116,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-143116,2026-08-09T13:41:27.351685+00:00,2026-08-09T13:42:01.527217+00:00,34.175,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-143116 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-143116 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,
4,JVASP-143566,,jid,JVASP-143566,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-143566,2026-08-09T13:42:01.529123+00:00,2026-08-09T13:42:36.017901+00:00,34.488,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-143566 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-143566 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,
5,JVASP-145157,,jid,JVASP-145157,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-145157,2026-08-09T13:42:36.019722+00:00,2026-08-09T13:43:10.695192+00:00,34.675,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-145157 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-145157 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,
6,JVASP-140218,,jid,JVASP-140218,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-140218,2026-08-09T13:43:10.697012+00:00,2026-08-09T13:43:45.292840+00:00,34.595,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-140218 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-140218 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,
7,JVASP-119423,,jid,JVASP-119423,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-119423,2026-08-09T13:43:45.294698+00:00,2026-08-09T13:44:19.650356+00:00,34.355,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-119423 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-119423 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,
8,JVASP-144808,,jid,JVASP-144808,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-144808,2026-08-09T13:44:19.652296+00:00,2026-08-09T13:44:54.392778+00:00,34.74,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-144808 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-144808 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,
9,JVASP-142153,,jid,JVASP-142153,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-142153,2026-08-09T13:44:54.394695+00:00,2026-08-09T13:45:29.402144+00:00,35.007,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-142153 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-142153 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,
10,JVASP-118994,,jid,JVASP-118994,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-118994,2026-08-09T13:45:29.404127+00:00,2026-08-09T13:46:04.077778+00:00,34.673,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-118994 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-118994 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,
