batch_index,case_id,label,input_type,jid,external_id,external_json,output_dir,started_at_utc,finished_at_utc,runtime_seconds,status,returncode,command,error,material_id,formula,primary_role,primary_role_score,confidence,hub_score,boundary_score,secondary_descriptors,quality_flags,same_family_count,adjacent_family_count,boundary_contrast_count,wildcard_count,negative_control_count,structural_context_profile_available,structural_context_profile_v2_available,profile_v2_schema_version,profile_v2_created_at_utc,profile_jid,profile_formula,profile_chemical_system,profile_composition_family,profile_formula_family,profile_prototype_family,profile_structure_variant,profile_spacegroup_number,profile_spacegroup_symbol,local_context_support,local_context_support_band,local_context_support_confidence,structural_regime_contrast,structural_regime_contrast_band,structural_regime_contrast_confidence,neighbourhood_coherence,structural_context_diversity,structural_context_diversity_status,evidence_sufficiency_score,evidence_sufficiency_status,retrieval_completeness,retrieval_completeness_status,pool_independence,pool_overlap_rate,candidate_ids_in_multiple_pools,unique_candidate_count_across_all_pools,context_ambiguity,context_ambiguity_band,profile_confidence,profile_confidence_band,profile_quality_flags,contextual_pattern,contextual_pattern_label,contextual_pattern_summary,hub_like_interpretation,boundary_like_interpretation,legacy_hub_strength,legacy_boundary_strength,legacy_structural_diversity
1,JVASP-119589,,jid,JVASP-119589,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-119589,2026-08-09T13:40:16.553142+00:00,2026-08-09T13:40:53.250412+00:00,36.697,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-119589 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-119589 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,,JVASP-119589,Li7Mn2Co3O12,boundary,0.835942,0.727776,,,,generic_overclaim_risk;pool_overlap,500,500,500,100,100,True,True,phase1.structural_context_profile.v2,2026-08-09T13:40:53.225144+00:00,JVASP-119589,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,8.0,Cm,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,68,1632,0.506776,low,0.764735,high,generic_overclaim_risk;pool_overlap,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,0.712636,0.835942,0.453531
2,JVASP-122407,,jid,JVASP-122407,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-122407,2026-08-09T13:40:53.252183+00:00,2026-08-09T13:41:27.349912+00:00,34.097,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-122407 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-122407 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,,JVASP-122407,Li7Mn2Co3O12,boundary,0.835942,0.727776,,,,generic_overclaim_risk;pool_overlap,500,500,500,100,100,True,True,phase1.structural_context_profile.v2,2026-08-09T13:41:27.324502+00:00,JVASP-122407,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,8.0,Cm,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,68,1632,0.506776,low,0.764735,high,generic_overclaim_risk;pool_overlap,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,0.712636,0.835942,0.453531
3,JVASP-143116,,jid,JVASP-143116,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-143116,2026-08-09T13:41:27.351685+00:00,2026-08-09T13:42:01.527217+00:00,34.175,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-143116 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-143116 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,,JVASP-143116,Li7Mn2Co3O12,boundary,0.835942,0.727776,,,,generic_overclaim_risk;pool_overlap,500,500,500,100,100,True,True,phase1.structural_context_profile.v2,2026-08-09T13:42:01.502018+00:00,JVASP-143116,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,8.0,Cm,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,68,1632,0.506776,low,0.764735,high,generic_overclaim_risk;pool_overlap,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,0.712636,0.835942,0.453531
4,JVASP-143566,,jid,JVASP-143566,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-143566,2026-08-09T13:42:01.529123+00:00,2026-08-09T13:42:36.017901+00:00,34.488,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-143566 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-143566 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,,JVASP-143566,Li7Mn2Co3O12,boundary,0.835942,0.727776,,,,generic_overclaim_risk;pool_overlap,500,500,500,100,100,True,True,phase1.structural_context_profile.v2,2026-08-09T13:42:35.992741+00:00,JVASP-143566,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,8.0,Cm,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,68,1632,0.506776,low,0.764735,high,generic_overclaim_risk;pool_overlap,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,0.712636,0.835942,0.453531
5,JVASP-145157,,jid,JVASP-145157,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-145157,2026-08-09T13:42:36.019722+00:00,2026-08-09T13:43:10.695192+00:00,34.675,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-145157 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-145157 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,,JVASP-145157,Li7Mn2Co3O12,boundary,0.835942,0.727776,,,,generic_overclaim_risk;pool_overlap,500,500,500,100,100,True,True,phase1.structural_context_profile.v2,2026-08-09T13:43:10.669875+00:00,JVASP-145157,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,8.0,Cm,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,68,1632,0.506776,low,0.764735,high,generic_overclaim_risk;pool_overlap,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,0.712636,0.835942,0.453531
6,JVASP-140218,,jid,JVASP-140218,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-140218,2026-08-09T13:43:10.697012+00:00,2026-08-09T13:43:45.292840+00:00,34.595,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-140218 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-140218 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,,JVASP-140218,Li7Mn2Co3O12,boundary,0.835942,0.727776,,,,generic_overclaim_risk;pool_overlap,500,500,500,100,100,True,True,phase1.structural_context_profile.v2,2026-08-09T13:43:45.267612+00:00,JVASP-140218,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,8.0,Cm,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,68,1632,0.506776,low,0.764735,high,generic_overclaim_risk;pool_overlap,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,0.712636,0.835942,0.453531
7,JVASP-119423,,jid,JVASP-119423,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-119423,2026-08-09T13:43:45.294698+00:00,2026-08-09T13:44:19.650356+00:00,34.355,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-119423 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-119423 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,,JVASP-119423,Li7Mn2Co3O12,boundary,0.835942,0.727776,,,,generic_overclaim_risk;pool_overlap,500,500,500,100,100,True,True,phase1.structural_context_profile.v2,2026-08-09T13:44:19.625143+00:00,JVASP-119423,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,8.0,Cm,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,68,1632,0.506776,low,0.764735,high,generic_overclaim_risk;pool_overlap,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,0.712636,0.835942,0.453531
8,JVASP-144808,,jid,JVASP-144808,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-144808,2026-08-09T13:44:19.652296+00:00,2026-08-09T13:44:54.392778+00:00,34.74,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-144808 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-144808 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,,JVASP-144808,Li7Mn2Co3O12,boundary,0.835942,0.727776,,,,generic_overclaim_risk;pool_overlap,500,500,500,100,100,True,True,phase1.structural_context_profile.v2,2026-08-09T13:44:54.367607+00:00,JVASP-144808,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,8.0,Cm,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,68,1632,0.506776,low,0.764735,high,generic_overclaim_risk;pool_overlap,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,0.712636,0.835942,0.453531
9,JVASP-142153,,jid,JVASP-142153,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-142153,2026-08-09T13:44:54.394695+00:00,2026-08-09T13:45:29.402144+00:00,35.007,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-142153 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-142153 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,,JVASP-142153,Li7Mn2Co3O12,boundary,0.835942,0.727776,,,,generic_overclaim_risk;pool_overlap,500,500,500,100,100,True,True,phase1.structural_context_profile.v2,2026-08-09T13:45:29.376959+00:00,JVASP-142153,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,8.0,Cm,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,68,1632,0.506776,low,0.764735,high,generic_overclaim_risk;pool_overlap,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,0.712636,0.835942,0.453531
10,JVASP-118994,,jid,JVASP-118994,,,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-118994,2026-08-09T13:45:29.404127+00:00,2026-08-09T13:46:04.077778+00:00,34.673,success,0,/Library/Frameworks/Python.framework/Versions/3.13/bin/python3 <ORIGINAL_RUN_ROOT>/run_context_pipeline.py --jid JVASP-118994 --output_dir <ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-118994 --scripts_dir <ORIGINAL_RUN_ROOT> --python /Library/Frameworks/Python.framework/Versions/3.13/bin/python3 --seed 87 --skip_profile --skip_pools --skip_evidence,,JVASP-118994,Li7Mn2Co3O12,boundary,0.835942,0.727776,,,,generic_overclaim_risk;pool_overlap,500,500,500,100,100,True,True,phase1.structural_context_profile.v2,2026-08-09T13:46:04.052280+00:00,JVASP-118994,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,8.0,Cm,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,68,1632,0.506776,low,0.764735,high,generic_overclaim_risk;pool_overlap,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,0.712636,0.835942,0.453531
