candidate_id,fingerprint_path,schema_version,status,query_formula,unique_reference_count
JVASP-118994,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-118994/evidence/reference_neighbourhood_fingerprint.json,phase3.reference_neighbourhood_fingerprint.v1,compatible,Li7Mn2Co3O12,1632
JVASP-119423,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-119423/evidence/reference_neighbourhood_fingerprint.json,phase3.reference_neighbourhood_fingerprint.v1,compatible,Li7Mn2Co3O12,1632
JVASP-119589,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-119589/evidence/reference_neighbourhood_fingerprint.json,phase3.reference_neighbourhood_fingerprint.v1,compatible,Li7Mn2Co3O12,1632
JVASP-122407,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-122407/evidence/reference_neighbourhood_fingerprint.json,phase3.reference_neighbourhood_fingerprint.v1,compatible,Li7Mn2Co3O12,1632
JVASP-140218,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-140218/evidence/reference_neighbourhood_fingerprint.json,phase3.reference_neighbourhood_fingerprint.v1,compatible,Li7Mn2Co3O12,1632
JVASP-142153,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-142153/evidence/reference_neighbourhood_fingerprint.json,phase3.reference_neighbourhood_fingerprint.v1,compatible,Li7Mn2Co3O12,1632
JVASP-143116,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-143116/evidence/reference_neighbourhood_fingerprint.json,phase3.reference_neighbourhood_fingerprint.v1,compatible,Li7Mn2Co3O12,1632
JVASP-143566,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-143566/evidence/reference_neighbourhood_fingerprint.json,phase3.reference_neighbourhood_fingerprint.v1,compatible,Li7Mn2Co3O12,1632
JVASP-144808,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-144808/evidence/reference_neighbourhood_fingerprint.json,phase3.reference_neighbourhood_fingerprint.v1,compatible,Li7Mn2Co3O12,1632
JVASP-145157,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-145157/evidence/reference_neighbourhood_fingerprint.json,phase3.reference_neighbourhood_fingerprint.v1,compatible,Li7Mn2Co3O12,1632
