candidate_id,candidate_formula,neighbour_rank,neighbour_id,neighbour_formula,combined_context_similarity,combined_context_distance,profile_similarity,reference_neighbourhood_similarity,reference_identity_similarity,reference_distribution_similarity,chemistry_baseline_similarity,pair_reliability
JVASP-119589,Li7Mn2Co3O12,1,JVASP-122407,Li7Mn2Co3O12,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8844324
JVASP-119589,Li7Mn2Co3O12,2,JVASP-143116,Li7Mn2Co3O12,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8844324
JVASP-119589,Li7Mn2Co3O12,3,JVASP-143566,Li7Mn2Co3O12,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8844324
JVASP-119589,Li7Mn2Co3O12,4,JVASP-145157,Li7Mn2Co3O12,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8844324
JVASP-119589,Li7Mn2Co3O12,5,JVASP-140218,Li7Mn2Co3O12,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8844324
JVASP-122407,Li7Mn2Co3O12,1,JVASP-119589,Li7Mn2Co3O12,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8844324
JVASP-122407,Li7Mn2Co3O12,2,JVASP-143116,Li7Mn2Co3O12,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8844324
JVASP-122407,Li7Mn2Co3O12,3,JVASP-143566,Li7Mn2Co3O12,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8844324
JVASP-122407,Li7Mn2Co3O12,4,JVASP-145157,Li7Mn2Co3O12,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8844324
JVASP-122407,Li7Mn2Co3O12,5,JVASP-140218,Li7Mn2Co3O12,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8844324
JVASP-143116,Li7Mn2Co3O12,1,JVASP-119589,Li7Mn2Co3O12,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8844324
