candidate_id,JVASP-119589,JVASP-122407,JVASP-143116,JVASP-143566,JVASP-145157,JVASP-140218,JVASP-119423,JVASP-144808,JVASP-142153,JVASP-118994
JVASP-119589,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
JVASP-122407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
JVASP-143116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
JVASP-143566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
JVASP-145157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
JVASP-140218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
JVASP-119423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
JVASP-144808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
JVASP-142153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
JVASP-118994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
