batch_index,case_id,label,input_type,jid,external_id,material_id,formula,profile_formula,profile_chemical_system,profile_composition_family,profile_formula_family,profile_prototype_family,profile_structure_variant,local_context_support,local_context_support_band,local_context_support_confidence,structural_regime_contrast,structural_regime_contrast_band,structural_regime_contrast_confidence,neighbourhood_coherence,structural_context_diversity,structural_context_diversity_status,evidence_sufficiency_score,evidence_sufficiency_status,retrieval_completeness,retrieval_completeness_status,pool_independence,pool_overlap_rate,context_ambiguity,context_ambiguity_band,profile_confidence,profile_confidence_band,contextual_pattern,contextual_pattern_label,contextual_pattern_summary,hub_like_interpretation,boundary_like_interpretation,profile_quality_flags,output_dir
1,JVASP-119589,,jid,JVASP-119589,,JVASP-119589,Li7Mn2Co3O12,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,0.506776,low,0.764735,high,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,generic_overclaim_risk;pool_overlap,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-119589
2,JVASP-122407,,jid,JVASP-122407,,JVASP-122407,Li7Mn2Co3O12,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,0.506776,low,0.764735,high,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,generic_overclaim_risk;pool_overlap,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-122407
3,JVASP-143116,,jid,JVASP-143116,,JVASP-143116,Li7Mn2Co3O12,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,0.506776,low,0.764735,high,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,generic_overclaim_risk;pool_overlap,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-143116
4,JVASP-143566,,jid,JVASP-143566,,JVASP-143566,Li7Mn2Co3O12,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,0.506776,low,0.764735,high,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,generic_overclaim_risk;pool_overlap,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-143566
5,JVASP-145157,,jid,JVASP-145157,,JVASP-145157,Li7Mn2Co3O12,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,0.506776,low,0.764735,high,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,generic_overclaim_risk;pool_overlap,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-145157
6,JVASP-140218,,jid,JVASP-140218,,JVASP-140218,Li7Mn2Co3O12,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,0.506776,low,0.764735,high,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,generic_overclaim_risk;pool_overlap,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-140218
7,JVASP-119423,,jid,JVASP-119423,,JVASP-119423,Li7Mn2Co3O12,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,0.506776,low,0.764735,high,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,generic_overclaim_risk;pool_overlap,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-119423
8,JVASP-144808,,jid,JVASP-144808,,JVASP-144808,Li7Mn2Co3O12,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,0.506776,low,0.764735,high,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,generic_overclaim_risk;pool_overlap,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-144808
9,JVASP-142153,,jid,JVASP-142153,,JVASP-142153,Li7Mn2Co3O12,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,0.506776,low,0.764735,high,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,generic_overclaim_risk;pool_overlap,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-142153
10,JVASP-118994,,jid,JVASP-118994,,JVASP-118994,Li7Mn2Co3O12,Li7Mn2Co3O12,Co-Li-Mn-O,oxide,AB2C4D7,unknown,unknown,0.712636,high,0.644958,0.835942,high,0.727776,0.922833,0.453531,provisional_retained_v1_aggregation,0.699094,sufficient,1.0,very_high,0.958333,0.041667,0.506776,low,0.764735,high,well_supported_contrast_rich,"Well-supported, contrast-rich context",The candidate is strongly anchored in a coherent reference neighbourhood while related references also span distinct structural regimes.,True,True,generic_overclaim_risk;pool_overlap,<ORIGINAL_RUN_ROOT>/batch_JVSAP_1/JVASP-118994
